state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size
AL,2011,32.0,30.5,33.5,7304.0
AK,2011,27.4,25.3,29.7,3336.0
AZ,2011,25.1,23.0,27.3,6150.0
AR,2011,30.9,28.8,33.1,4527.0
CA,2011,23.8,22.9,24.7,17088.0
CO,2011,20.7,19.7,21.8,12976.0
CT,2011,24.5,23.0,26.0,6457.0
DE,2011,28.8,26.9,30.7,4530.0
DC,2011,23.7,21.9,25.7,4368.0
FL,2011,26.6,25.4,27.9,11770.0
GA,2011,28.0,26.6,29.4,9353.0
HI,2011,21.8,20.4,23.4,7407.0
ID,2011,27.0,25.3,28.9,5739.0
IL,2011,27.1,25.4,28.9,5355.0
IN,2011,30.8,29.5,32.3,8048.0
IA,2011,29.0,27.6,30.3,6898.0
KS,2011,29.6,28.7,30.4,19619.0
KY,2011,30.4,28.9,31.9,10114.0
LA,2011,33.4,32.0,34.9,10404.0
ME,2011,27.8,26.8,28.9,12643.0
MD,2011,28.3,26.9,29.7,9450.0
MA,2011,22.7,21.8,23.7,20532.0
MI,2011,31.3,30.0,32.6,10579.0
MN,2011,25.7,24.6,26.8,14387.0
MS,2011,34.9,33.5,36.3,8504.0
MO,2011,30.3,28.6,32.0,6095.0
MT,2011,24.6,23.3,26.0,9882.0
NE,2011,28.4,27.6,29.2,24366.0
NV,2011,24.5,22.5,26.6,5205.0
NH,2011,26.2,24.7,27.7,6049.0
NJ,2011,23.7,22.7,24.8,14130.0
NM,2011,26.3,25.1,27.6,8981.0
NY,2011,24.5,23.2,25.9,7222.0
NC,2011,29.1,27.7,30.6,10790.0
ND,2011,27.8,26.3,29.4,4982.0
OH,2011,29.6,28.3,31.0,9339.0
OK,2011,31.1,29.7,32.5,8159.0
OR,2011,26.7,25.2,28.3,5959.0
PA,2011,28.6,27.3,29.8,10850.0
RI,2011,25.4,23.9,27.0,6182.0
SC,2011,30.8,29.6,32.1,12352.0
SD,2011,28.1,26.3,30.1,7820.0
TN,2011,29.2,26.8,31.7,5575.0
TX,2011,30.4,29.1,31.8,14024.0
UT,2011,24.4,23.4,25.5,11918.0
VT,2011,25.4,24.1,26.8,6771.0
VA,2011,29.2,27.5,30.9,6151.0
WA,2011,26.5,25.3,27.7,13896.0
WV,2011,32.4,30.9,34.0,4958.0
