State,Year,ProgramType,CountEverEnrolled,CountLastMonthEnrollment,AverageEnrollmentPerMonth,DQUnusable
Alabama,2016,Medicaid,"1,169,468","1,149,970","981,967",
Alabama,2016,CHIP,"198,481","184,966","135,117",
Alabama,2016,Unknown,"28,991","11,958","18,551",
Alabama,2017,Medicaid,"1,161,433","1,130,341","977,980",
Alabama,2017,CHIP,"232,416","220,014","161,731",
Alabama,2017,Unknown,0,0,0,
Alabama,2018,Medicaid,"1,156,829","1,129,067","971,919",
Alabama,2018,CHIP,"247,277","227,972","174,973",
Alabama,2018,Unknown,DS,0,DS,
Alabama,2019,Medicaid,"1,146,498","1,125,558","987,125",
Alabama,2019,CHIP,"238,003","224,032","175,738",
Alabama,2019,Unknown,0,0,0,
Alabama,2020,Medicaid,"1,134,630","1,118,726","1,027,886",
Alabama,2020,CHIP,"219,434","211,104","177,565",
Alabama,2020,Unknown,0,0,0,
Alabama,2021,Medicaid,"1,203,470","1,186,694","1,114,950",
Alabama,2021,CHIP,"224,257","216,183","187,195",
Alabama,2021,Unknown,DS,DS,DS,
Alabama,2022,Medicaid,"1,275,359","1,258,620","1,193,936",
Alabama,2022,CHIP,"238,598","230,098","201,561",
Alabama,2022,Unknown,0,0,0,
Alaska,2016,Medicaid,"202,324","197,234","164,487",
Alaska,2016,CHIP,"18,529","12,251","10,943",
Alaska,2016,Unknown,0,0,0,
Alaska,2017,Medicaid,"224,355","219,324","190,562",
Alaska,2017,CHIP,"19,616","14,268","12,563",
Alaska,2017,Unknown,0,0,0,
Alaska,2018,Medicaid,"236,308","230,682","204,129",
Alaska,2018,CHIP,"21,423","16,039","13,985",
Alaska,2018,Unknown,0,0,0,
Alaska,2019,Medicaid,"246,408","240,280","212,001",
Alaska,2019,CHIP,"24,450","16,938","15,389",
Alaska,2019,Unknown,0,0,0,
Alaska,2020,Medicaid,"253,722","250,991","223,872",
Alaska,2020,CHIP,"20,829","13,807","13,997",
Alaska,2020,Unknown,0,0,0,
Alaska,2021,Medicaid,"262,067","260,639","242,095",
Alaska,2021,CHIP,"15,146","12,199","12,188",
Alaska,2021,Unknown,0,0,0,
Alaska,2022,Medicaid,"271,284","269,430","253,706",
Alaska,2022,CHIP,"14,832","12,588","11,820",
Alaska,2022,Unknown,0,0,0,
Arizona,2016,Medicaid,"2,316,954","2,278,677","2,050,688",
Arizona,2016,CHIP,"143,817","97,922","81,621",Unusable
Arizona,2016,Unknown,0,0,0,
Arizona,2017,Medicaid,"2,266,822","2,218,242","1,905,543",
Arizona,2017,CHIP,"167,280","120,964","94,495",
Arizona,2017,Unknown,0,0,0,
Arizona,2018,Medicaid,"2,235,728","2,184,136","1,844,931",
Arizona,2018,CHIP,"180,580","131,526","100,109",
Arizona,2018,Unknown,0,0,0,
Arizona,2019,Medicaid,"2,197,249","2,151,089","1,848,938",
Arizona,2019,CHIP,"181,943","127,859","101,850",
Arizona,2019,Unknown,0,0,0,
Arizona,2020,Medicaid,"2,198,483","2,156,508","1,940,634",
Arizona,2020,CHIP,"168,423","122,478","104,267",
Arizona,2020,Unknown,0,0,0,
Arizona,2021,Medicaid,"2,338,267","2,299,748","2,144,328",
Arizona,2021,CHIP,"176,293","137,426","126,928",
Arizona,2021,Unknown,0,0,0,
Arizona,2022,Medicaid,"2,501,824","2,459,867","2,307,443",
Arizona,2022,CHIP,"193,772","149,448","138,156",
Arizona,2022,Unknown,0,0,0,
Arkansas,2016,Medicaid,"1,071,156","1,049,683","929,373",
Arkansas,2016,CHIP,"150,407","115,742","101,650",High Concern
Arkansas,2016,Unknown,DS,0,DS,
Arkansas,2017,Medicaid,"1,118,539","1,089,483","935,172",
Arkansas,2017,CHIP,"133,065","101,290","82,903",Unusable
Arkansas,2017,Unknown,0,0,0,
Arkansas,2018,Medicaid,"1,071,569","1,043,877","899,004",
Arkansas,2018,CHIP,"124,699","101,360","85,209",Unusable
Arkansas,2018,Unknown,0,0,0,
Arkansas,2019,Medicaid,"1,034,807","1,009,203","864,307",
Arkansas,2019,CHIP,"129,353","105,191","90,282",Unusable
Arkansas,2019,Unknown,0,0,0,
Arkansas,2020,Medicaid,"1,018,212","1,002,273","890,967",
Arkansas,2020,CHIP,"125,541","102,951","95,085",Unusable
Arkansas,2020,Unknown,0,0,0,
Arkansas,2021,Medicaid,"1,075,589","1,062,965","978,673",
Arkansas,2021,CHIP,"115,643","89,302","88,465",Unusable
Arkansas,2021,Unknown,0,0,0,
Arkansas,2022,Medicaid,"1,145,104","1,129,671","1,049,090",
Arkansas,2022,CHIP,"109,172","82,754","78,514",Unusable
Arkansas,2022,Unknown,0,0,0,
California,2016,Medicaid,"16,687,882","16,277,181","13,544,968",
California,2016,CHIP,"1,995,944","1,627,812","1,419,475",
California,2016,Unknown,0,0,0,
California,2017,Medicaid,"16,280,991","15,862,668","13,245,182",
California,2017,CHIP,"2,001,822","1,635,056","1,392,263",
California,2017,Unknown,0,0,0,
California,2018,Medicaid,"15,715,251","15,319,282","12,867,576",
California,2018,CHIP,"1,965,774","1,610,046","1,387,823",
California,2018,Unknown,0,0,0,
California,2019,Medicaid,"15,201,402","14,811,368","12,435,320",
California,2019,CHIP,"1,941,053","1,598,188","1,363,522",
California,2019,Unknown,0,0,0,
California,2020,Medicaid,"14,585,299","14,367,764","12,419,017",
California,2020,CHIP,"1,743,554","1,403,365","1,336,940",
California,2020,Unknown,0,0,0,
California,2021,Medicaid,"15,010,017","14,855,864","13,355,690",
California,2021,CHIP,"1,598,493","1,378,739","1,327,781",
California,2021,Unknown,0,0,0,
California,2022,Medicaid,"15,888,243","15,728,815","14,305,237",
California,2022,CHIP,"1,591,503","1,360,868","1,321,736",
California,2022,Unknown,0,0,0,
Colorado,2016,Medicaid,"1,447,493","1,382,322","1,182,489",
Colorado,2016,CHIP,"240,596","174,618","141,306",Unusable
Colorado,2016,Unknown,"112,196","91,723","89,733",
Colorado,2017,Medicaid,"1,574,748","1,494,524","1,290,910",
Colorado,2017,CHIP,"273,103","200,572","158,685",Unusable
Colorado,2017,Unknown,0,0,0,
Colorado,2018,Medicaid,"1,530,968","1,458,978","1,230,513",
Colorado,2018,CHIP,"280,773","197,082","157,705",Unusable
Colorado,2018,Unknown,DS,0,DS,
Colorado,2019,Medicaid,"1,480,172","1,416,774","1,178,765",
Colorado,2019,CHIP,"264,568","186,813","152,352",Unusable
Colorado,2019,Unknown,0,0,0,
Colorado,2020,Medicaid,"1,500,055","1,461,506","1,265,247",
Colorado,2020,CHIP,"212,990","129,198","124,908",
Colorado,2020,Unknown,0,0,0,
Colorado,2021,Medicaid,"1,630,914","1,592,287","1,456,124",
Colorado,2021,CHIP,"195,420","118,263","115,415",
Colorado,2021,Unknown,0,0,0,
Colorado,2022,Medicaid,"1,785,346","1,743,905","1,578,355",
Colorado,2022,CHIP,"191,554","109,171","106,068",
Colorado,2022,Unknown,0,0,0,
Connecticut,2016,Medicaid,"1,047,213","1,041,275","893,737",
Connecticut,2016,CHIP,"27,217","22,150","17,310",
Connecticut,2016,Unknown,0,0,0,
Connecticut,2017,Medicaid,"1,067,737","1,059,950","912,175",
Connecticut,2017,CHIP,"30,689","24,195","18,807",
Connecticut,2017,Unknown,0,0,0,
Connecticut,2018,Medicaid,"1,077,878","1,071,199","946,851",
Connecticut,2018,CHIP,"30,366","24,340","19,020",
Connecticut,2018,Unknown,0,0,0,
Connecticut,2019,Medicaid,"1,098,768","1,091,887","966,346",
Connecticut,2019,CHIP,"30,987","25,087","20,198",
Connecticut,2019,Unknown,0,0,0,
Connecticut,2020,Medicaid,"1,128,566","1,125,270","1,005,881",
Connecticut,2020,CHIP,"27,518","21,138","20,131",
Connecticut,2020,Unknown,0,0,0,
Connecticut,2021,Medicaid,"1,204,776","1,204,286","1,113,172",
Connecticut,2021,CHIP,"22,685","19,317","18,403",
Connecticut,2021,Unknown,0,0,0,
Connecticut,2022,Medicaid,"1,290,145","1,288,589","1,198,418",
Connecticut,2022,CHIP,"22,482","19,169","16,045",
Connecticut,2022,Unknown,0,0,0,
Delaware,2016,Medicaid,"287,457","280,568","228,149",
Delaware,2016,CHIP,"21,271","14,896","10,714",
Delaware,2016,Unknown,0,0,0,
Delaware,2017,Medicaid,"282,177","276,822","233,015",
Delaware,2017,CHIP,"20,019","14,598","11,856",
Delaware,2017,Unknown,0,0,0,
Delaware,2018,Medicaid,"284,859","279,353","236,303",
Delaware,2018,CHIP,"20,192","14,857","11,907",
Delaware,2018,Unknown,0,0,0,
Delaware,2019,Medicaid,"284,811","279,205","236,263",
Delaware,2019,CHIP,"20,832","15,456","12,303",
Delaware,2019,Unknown,0,0,0,
Delaware,2020,Medicaid,"278,933","277,067","246,913",
Delaware,2020,CHIP,"17,229","13,294","12,645",
Delaware,2020,Unknown,0,0,0,
Delaware,2021,Medicaid,"299,788","298,576","274,917",
Delaware,2021,CHIP,"15,523","12,629","12,146",
Delaware,2021,Unknown,0,0,0,
Delaware,2022,Medicaid,"325,836","324,407","300,711",
Delaware,2022,CHIP,"12,654","9,299","7,488",
Delaware,2022,Unknown,0,0,0,
District of Columbia,2016,Medicaid,"273,634","271,970","234,757",
District of Columbia,2016,CHIP,"14,807","11,402","10,578",
District of Columbia,2016,Unknown,0,0,0,
District of Columbia,2017,Medicaid,"275,595","272,267","252,211",
District of Columbia,2017,CHIP,"15,520","13,923","12,353",
District of Columbia,2017,Unknown,0,0,0,
District of Columbia,2018,Medicaid,"281,157","275,838","250,673",
District of Columbia,2018,CHIP,"19,785","17,340","15,475",
District of Columbia,2018,Unknown,0,0,0,
District of Columbia,2019,Medicaid,"275,321","270,278","248,257",
District of Columbia,2019,CHIP,"21,978","18,719","17,076",
District of Columbia,2019,Unknown,0,0,0,
District of Columbia,2020,Medicaid,"277,220","273,571","247,449",
District of Columbia,2020,CHIP,"21,528","18,267","17,442",
District of Columbia,2020,Unknown,0,0,0,
District of Columbia,2021,Medicaid,"282,120","280,182","266,603",
District of Columbia,2021,CHIP,"19,529","17,513","17,346",
District of Columbia,2021,Unknown,0,0,0,
District of Columbia,2022,Medicaid,"296,311","294,592","282,571",
District of Columbia,2022,CHIP,"19,200","16,777","17,036",
District of Columbia,2022,Unknown,0,0,0,
Florida,2016,Medicaid,"5,057,310","5,057,287","4,523,065",
Florida,2016,CHIP,"131,017","131,017","111,822",High Concern
Florida,2016,Unknown,0,0,0,
Florida,2017,Medicaid,"5,163,877","5,163,844","4,637,561",
Florida,2017,CHIP,"126,002","126,002","108,702",High Concern
Florida,2017,Unknown,0,0,0,
Florida,2018,Medicaid,"5,085,327","5,085,196","4,549,658",
Florida,2018,CHIP,"135,849","135,849","102,919",Unusable
Florida,2018,Unknown,0,0,0,
Florida,2019,Medicaid,"4,891,445","4,891,292","4,389,799",
Florida,2019,CHIP,"139,374","139,374","117,162",Unusable
Florida,2019,Unknown,0,0,0,
Florida,2020,Medicaid,"4,843,751","4,843,638","4,500,149",
Florida,2020,CHIP,"267,140","267,140","246,361",
Florida,2020,Unknown,0,0,0,
Florida,2021,Medicaid,"5,345,152","5,345,102","5,033,868",
Florida,2021,CHIP,"165,664","165,664","152,214",
Florida,2021,Unknown,0,0,0,
Florida,2022,Medicaid,"5,841,341","5,841,292","5,445,631",
Florida,2022,CHIP,"176,354","176,353","160,993",High Concern
Florida,2022,Unknown,0,0,0,
Georgia,2016,Medicaid,"2,337,398","2,269,251","1,861,209",
Georgia,2016,CHIP,"277,134","226,987","178,557",
Georgia,2016,Unknown,0,0,0,
Georgia,2017,Medicaid,"2,341,123","2,262,001","1,891,562",
Georgia,2017,CHIP,"292,014","235,376","182,117",
Georgia,2017,Unknown,0,0,0,
Georgia,2018,Medicaid,"2,393,417","2,311,871","1,954,646",
Georgia,2018,CHIP,"314,192","259,352","203,806",
Georgia,2018,Unknown,0,0,0,
Georgia,2019,Medicaid,"2,378,278","2,315,794","1,965,128",
Georgia,2019,CHIP,"314,810","257,170","216,564",
Georgia,2019,Unknown,0,0,0,
Georgia,2020,Medicaid,"2,389,353","2,336,718","2,070,773",
Georgia,2020,CHIP,"324,747","259,700","228,975",
Georgia,2020,Unknown,0,0,0,
Georgia,2021,Medicaid,"2,531,415","2,473,655","2,291,333",
Georgia,2021,CHIP,"345,286","294,130","267,100",
Georgia,2021,Unknown,0,0,0,
Georgia,2022,Medicaid,"2,694,686","2,631,964","2,460,257",
Georgia,2022,CHIP,"379,014","319,124","290,955",
Georgia,2022,Unknown,0,0,0,
Hawaii,2016,Medicaid,"402,186","396,029","360,181",
Hawaii,2016,CHIP,"31,329","27,212","23,433",
Hawaii,2016,Unknown,0,0,0,
Hawaii,2017,Medicaid,"395,502","389,761","337,524",
Hawaii,2017,CHIP,"33,236","28,840","24,579",
Hawaii,2017,Unknown,0,0,0,
Hawaii,2018,Medicaid,"390,463","383,080","330,707",
Hawaii,2018,CHIP,"36,043","31,069","25,658",
Hawaii,2018,Unknown,0,0,0,
Hawaii,2019,Medicaid,"378,257","370,895","318,653",
Hawaii,2019,CHIP,"37,080","31,312","26,202",
Hawaii,2019,Unknown,0,0,0,
Hawaii,2020,Medicaid,"398,388","394,690","343,291",
Hawaii,2020,CHIP,"34,678","27,575","25,941",
Hawaii,2020,Unknown,0,0,0,
Hawaii,2021,Medicaid,"442,267","439,561","403,610",
Hawaii,2021,CHIP,"31,219","25,844","25,354",
Hawaii,2021,Unknown,0,0,0,
Hawaii,2022,Medicaid,"467,979","465,363","434,024",
Hawaii,2022,CHIP,"29,203","24,648","24,163",
Hawaii,2022,Unknown,0,0,0,
Idaho,2016,Medicaid,"337,686","335,102","287,937",
Idaho,2016,CHIP,"34,555","30,279","27,164",High Concern
Idaho,2016,Unknown,0,0,0,
Idaho,2017,Medicaid,"343,745","341,554","292,581",
Idaho,2017,CHIP,"35,319","30,923","28,199",High Concern
Idaho,2017,Unknown,0,0,0,
Idaho,2018,Medicaid,"337,875","333,546","275,069",
Idaho,2018,CHIP,"39,062","33,534","28,788",
Idaho,2018,Unknown,0,0,0,
Idaho,2019,Medicaid,"324,367","317,699","265,829",
Idaho,2019,CHIP,"42,326","35,407","29,501",
Idaho,2019,Unknown,0,0,0,
Idaho,2020,Medicaid,"403,332","400,902","341,917",
Idaho,2020,CHIP,"40,766","33,883","31,709",
Idaho,2020,Unknown,0,0,0,
Idaho,2021,Medicaid,"446,198","436,527","392,949",
Idaho,2021,CHIP,"48,272","41,375","36,525",
Idaho,2021,Unknown,0,0,0,
Idaho,2022,Medicaid,"474,341","465,251","423,216",
Idaho,2022,CHIP,"52,400","44,039","40,670",
Idaho,2022,Unknown,0,0,0,
Illinois,2016,Medicaid,"3,509,753","3,415,417","2,961,926",
Illinois,2016,CHIP,"400,677","328,624","254,316",
Illinois,2016,Unknown,0,0,0,
Illinois,2017,Medicaid,"3,449,599","3,382,642","2,912,525",
Illinois,2017,CHIP,"393,052","295,887","253,430",
Illinois,2017,Unknown,0,0,0,
Illinois,2018,Medicaid,"3,416,004","3,322,729","2,867,637",
Illinois,2018,CHIP,"376,862","307,772","233,016",
Illinois,2018,Unknown,0,0,0,
Illinois,2019,Medicaid,"3,247,194","3,150,296","2,693,982",
Illinois,2019,CHIP,"406,681","324,938","261,255",
Illinois,2019,Unknown,0,0,0,
Illinois,2020,Medicaid,"3,270,146","3,221,524","2,803,129",
Illinois,2020,CHIP,"359,768","325,570","290,327",
Illinois,2020,Unknown,0,0,0,
Illinois,2021,Medicaid,"3,453,880","3,442,454","3,128,892",
Illinois,2021,CHIP,"350,101","339,523","320,994",
Illinois,2021,Unknown,0,0,0,
Illinois,2022,Medicaid,"3,658,310","3,647,155","3,358,376",
Illinois,2022,CHIP,"380,524","348,601","334,442",
Illinois,2022,Unknown,0,0,0,
Indiana,2016,Medicaid,"1,775,779","1,731,368","1,355,354",
Indiana,2016,CHIP,"152,353","114,666","91,911",
Indiana,2016,Unknown,"3,827","1,552","1,573",
Indiana,2017,Medicaid,"1,734,924","1,691,228","1,388,042",
Indiana,2017,CHIP,"160,604","125,645","102,112",
Indiana,2017,Unknown,"1,327",887,459,
Indiana,2018,Medicaid,"1,732,895","1,686,004","1,362,774",
Indiana,2018,CHIP,"176,624","136,775","111,522",
Indiana,2018,Unknown,333,127,184,
Indiana,2019,Medicaid,"1,718,639","1,676,751","1,362,756",
Indiana,2019,CHIP,"179,290","137,971","116,367",
Indiana,2019,Unknown,362,133,178,
Indiana,2020,Medicaid,"1,821,468","1,804,698","1,538,939",
Indiana,2020,CHIP,"160,994","115,946","116,788",
Indiana,2020,Unknown,398,26,161,
Indiana,2021,Medicaid,"1,982,779","1,979,160","1,804,821",
Indiana,2021,CHIP,"127,121","107,987","107,579",
Indiana,2021,Unknown,"32,007","27,849","15,535",
Indiana,2022,Medicaid,"2,187,816","2,149,966","2,003,293",
Indiana,2022,CHIP,"164,094","143,529","122,003",
Indiana,2022,Unknown,463,164,83,
Iowa,2016,Medicaid,"765,048","744,138","616,899",
Iowa,2016,CHIP,"91,713","74,475","60,805",
Iowa,2016,Unknown,0,0,0,
Iowa,2017,Medicaid,"761,393","737,532","613,797",
Iowa,2017,CHIP,"99,527","81,879","64,490",
Iowa,2017,Unknown,0,0,0,
Iowa,2018,Medicaid,"745,194","723,006","616,440",
Iowa,2018,CHIP,"102,867","84,491","70,106",
Iowa,2018,Unknown,0,0,0,
Iowa,2019,Medicaid,"756,364","731,106","625,703",
Iowa,2019,CHIP,"110,125","91,385","76,053",
Iowa,2019,Unknown,0,0,0,
Iowa,2020,Medicaid,"755,045","740,530","654,517",
Iowa,2020,CHIP,"105,262","85,542","80,767",
Iowa,2020,Unknown,0,0,0,
Iowa,2021,Medicaid,"811,719","800,156","730,946",
Iowa,2021,CHIP,"101,484","82,603","80,217",
Iowa,2021,Unknown,0,0,0,
Iowa,2022,Medicaid,"862,473","855,130","785,601",
Iowa,2022,CHIP,"92,516","75,343","73,618",
Iowa,2022,Unknown,0,0,0,
Kansas,2016,Medicaid,"465,613","456,455","397,807",
Kansas,2016,CHIP,"72,121","62,435","53,646",High Concern
Kansas,2016,Unknown,254,254,112,
Kansas,2017,Medicaid,"471,211","452,949","379,868",
Kansas,2017,CHIP,"76,832","66,057","51,059",High Concern
Kansas,2017,Unknown,"2,279","1,367","1,599",
Kansas,2018,Medicaid,"458,925","440,690","376,392",
Kansas,2018,CHIP,"79,667","69,058","54,611",
Kansas,2018,Unknown,"2,394","1,572","1,711",
Kansas,2019,Medicaid,"447,133","428,867","359,058",
Kansas,2019,CHIP,"84,569","73,800","57,758",
Kansas,2019,Unknown,"2,527","1,624","1,720",
Kansas,2020,Medicaid,"433,883","426,602","373,765",
Kansas,2020,CHIP,"77,996","69,997","63,587",
Kansas,2020,Unknown,72,51,28,
Kansas,2021,Medicaid,"463,716","462,027","418,248",
Kansas,2021,CHIP,"74,586","70,168","67,060",
Kansas,2021,Unknown,0,0,0,
Kansas,2022,Medicaid,"498,449","496,632","455,392",
Kansas,2022,CHIP,"75,646","70,869","67,696",
Kansas,2022,Unknown,0,0,0,
Kentucky,2016,Medicaid,"1,532,825","1,532,825","1,404,915",
Kentucky,2016,CHIP,"119,891","119,891","110,748",High Concern
Kentucky,2016,Unknown,"4,839","2,762","3,085",
Kentucky,2017,Medicaid,"1,592,929","1,592,929","1,476,865",
Kentucky,2017,CHIP,"118,546","118,546","110,307",High Concern
Kentucky,2017,Unknown,"5,510","3,478","3,604",
Kentucky,2018,Medicaid,"1,605,719","1,605,719","1,481,700",
Kentucky,2018,CHIP,"119,341","119,341","110,340",High Concern
Kentucky,2018,Unknown,"5,909","3,794","3,465",
Kentucky,2019,Medicaid,"1,574,036","1,574,036","1,460,176",
Kentucky,2019,CHIP,"116,198","116,198","107,203",
Kentucky,2019,Unknown,"4,788","3,126","2,505",
Kentucky,2020,Medicaid,"1,689,823","1,689,823","1,533,237",
Kentucky,2020,CHIP,"128,377","128,377","122,342",High Concern
Kentucky,2020,Unknown,"5,733","4,700","3,543",
Kentucky,2021,Medicaid,"1,323,787","1,323,787","1,205,972",High Concern
Kentucky,2021,CHIP,"543,856","543,856","515,013",Unusable
Kentucky,2021,Unknown,"8,257","6,287","5,791",High Concern
Kentucky,2022,Medicaid,"1,250,165","1,250,165","1,174,378",High Concern
Kentucky,2022,CHIP,"562,569","562,569","544,708",Unusable
Kentucky,2022,Unknown,"4,624","4,436","2,601",High Concern
Louisiana,2016,Medicaid,"1,630,303","1,601,028","1,366,269",
Louisiana,2016,CHIP,"169,099","146,983","127,808",
Louisiana,2016,Unknown,0,0,0,
Louisiana,2017,Medicaid,"1,730,922","1,698,386","1,508,829",
Louisiana,2017,CHIP,"171,917","147,629","124,453",
Louisiana,2017,Unknown,0,0,0,
Louisiana,2018,Medicaid,"1,758,900","1,716,562","1,526,933",
Louisiana,2018,CHIP,"181,543","151,344","129,730",
Louisiana,2018,Unknown,0,0,0,
Louisiana,2019,Medicaid,"1,801,560","1,752,116","1,528,437",
Louisiana,2019,CHIP,"199,817","139,939","125,737",
Louisiana,2019,Unknown,0,0,0,
Louisiana,2020,Medicaid,"1,813,333","1,767,686","1,593,721",
Louisiana,2020,CHIP,"179,596","143,619","130,503",
Louisiana,2020,Unknown,0,0,0,
Louisiana,2021,Medicaid,"1,902,250","1,851,610","1,744,348",
Louisiana,2021,CHIP,"202,283","165,594","149,878",
