state,year,medicaid_enrollment
AL,2016,981967
AL,2017,977980
AL,2018,971919
AL,2019,987125
AL,2020,1027886
AL,2021,1114950
AL,2022,1193936
AK,2016,164487
AK,2017,190562
AK,2018,204129
AK,2019,212001
AK,2020,223872
AK,2021,242095
AK,2022,253706
AZ,2016,2050688
AZ,2017,1905543
AZ,2018,1844931
AZ,2019,1848938
AZ,2020,1940634
AZ,2021,2144328
AZ,2022,2307443
AR,2016,929373
AR,2017,935172
AR,2018,899004
AR,2019,864307
AR,2020,890967
AR,2021,978673
AR,2022,1049090
CA,2016,13544968
CA,2017,13245182
CA,2018,12867576
CA,2019,12435320
CA,2020,12419017
CA,2021,13355690
CA,2022,14305237
CO,2016,1182489
CO,2017,1290910
CO,2018,1230513
CO,2019,1178765
CO,2020,1265247
CO,2021,1456124
CO,2022,1578355
CT,2016,893737
CT,2017,912175
CT,2018,946851
CT,2019,966346
CT,2020,1005881
CT,2021,1113172
CT,2022,1198418
DE,2016,228149
DE,2017,233015
DE,2018,236303
DE,2019,236263
DE,2020,246913
DE,2021,274917
DE,2022,300711
DC,2016,234757
DC,2017,252211
DC,2018,250673
DC,2019,248257
DC,2020,247449
DC,2021,266603
DC,2022,282571
FL,2016,4523065
FL,2017,4637561
FL,2018,4549658
FL,2019,4389799
FL,2020,4500149
FL,2021,5033868
FL,2022,5445631
GA,2016,1861209
GA,2017,1891562
GA,2018,1954646
GA,2019,1965128
GA,2020,2070773
GA,2021,2291333
GA,2022,2460257
HI,2016,360181
HI,2017,337524
HI,2018,330707
HI,2019,318653
HI,2020,343291
HI,2021,403610
HI,2022,434024
ID,2016,287937
ID,2017,292581
ID,2018,275069
ID,2019,265829
ID,2020,341917
ID,2021,392949
ID,2022,423216
IL,2016,2961926
IL,2017,2912525
IL,2018,2867637
IL,2019,2693982
IL,2020,2803129
IL,2021,3128892
IL,2022,3358376
IN,2016,1355354
IN,2017,1388042
IN,2018,1362774
IN,2019,1362756
IN,2020,1538939
IN,2021,1804821
IN,2022,2003293
IA,2016,616899
IA,2017,613797
IA,2018,616440
IA,2019,625703
IA,2020,654517
IA,2021,730946
IA,2022,785601
KS,2016,397807
KS,2017,379868
KS,2018,376392
KS,2019,359058
KS,2020,373765
KS,2021,418248
KS,2022,455392
KY,2016,1404915
KY,2017,1476865
KY,2018,1481700
KY,2019,1460176
KY,2020,1533237
KY,2021,1205972
KY,2022,1174378
LA,2016,1366269
LA,2017,1508829
LA,2018,1526933
LA,2019,1528437
LA,2020,1593721
LA,2021,1744348
LA,2022,1815137
ME,2016,271996
ME,2017,265584
ME,2018,263143
ME,2019,283397
ME,2020,327310
ME,2021,390602
ME,2022,426352
MD,2016,1180576
MD,2017,1252769
MD,2018,1258857
MD,2019,1263754
MD,2020,1335952
MD,2021,1471823
MD,2022,1567635
MA,2016,1754529
MA,2017,1739529
MA,2018,1712795
MA,2019,1653642
MA,2020,1712078
MA,2021,1881538
MA,2022,2072783
MI,2016,2367567
MI,2017,2430634
MI,2018,2438632
MI,2019,2404605
MI,2020,2545009
MI,2021,2809304
MI,2022,2958233
MN,2016,1106955
MN,2017,1120265
MN,2018,1104202
MN,2019,1053304
MN,2020,1116893
MN,2021,1257114
MN,2022,1355649
MS,2016,722413
MS,2017,708834
MS,2018,680431
MS,2019,664477
MS,2020,684228
MS,2021,785626
MS,2022,828964
MO,2016,1048975
MO,2017,1059143
MO,2018,1020048
MO,2019,938063
MO,2020,980169
MO,2021,1154898
MO,2022,1384665
MT,2016,199937
MT,2017,259235
MT,2018,256512
MT,2019,248851
MT,2020,242910
MT,2021,271840
MT,2022,292173
NE,2016,217417
NE,2017,219489
NE,2018,220068
NE,2019,218633
NE,2020,236524
NE,2021,302552
NE,2022,339677
NV,2016,623508
NV,2017,641777
NV,2018,651360
NV,2019,640079
NV,2020,698906
NV,2021,810449
NV,2022,869353
NH,2016,197277
NH,2017,195471
NH,2018,191281
NH,2019,184806
NH,2020,200943
NH,2021,231610
NH,2022,245508
NJ,2016,1586765
NJ,2017,1590484
NJ,2018,1572657
NJ,2019,1514599
NJ,2020,1592115
NJ,2021,1793718
NJ,2022,1924358
NM,2016,835425
NM,2017,849346
NM,2018,809982
NM,2019,795889
NM,2020,835349
NM,2021,892255
NM,2022,935057
NY,2016,5839153
NY,2017,5877351
NY,2018,5928470
NY,2019,5908228
NY,2020,6193961
NY,2021,6880598
NY,2022,7316492
NC,2016,1927274
NC,2017,1977054
NC,2018,2019601
NC,2019,2009420
NC,2020,2084773
NC,2021,2338487
NC,2022,2554120
ND,2016,85687
ND,2017,92592
ND,2018,92024
ND,2019,89065
ND,2020,95836
ND,2021,112520
ND,2022,123319
OH,2016,2779410
OH,2017,2851700
OH,2018,2718183
OH,2019,2621078
OH,2020,2740832
OH,2021,2994381
OH,2022,3172035
OK,2016,685898
OK,2017,713214
OK,2018,692084
OK,2019,683334
OK,2020,761549
OK,2021,939619
OK,2022,1151118
OR,2016,1092428
OR,2017,997582
OR,2018,966682
OR,2019,976847
OR,2020,1052443
OR,2021,1177936
OR,2022,1262437
PA,2016,2533449
PA,2017,2757011
PA,2018,2700122
PA,2019,2619351
PA,2020,2875535
PA,2021,3160301
PA,2022,3401358
RI,2016,290323
RI,2017,315917
RI,2018,210934
RI,2019,206565
RI,2020,307027
RI,2021,334895
RI,2022,348017
SC,2016,1188155
SC,2017,1196616
SC,2018,1186008
SC,2019,1197553
SC,2020,1219001
SC,2021,1332408
SC,2022,1427735
SD,2016,110063
SD,2017,108725
SD,2018,106626
SD,2019,105381
SD,2020,109552
SD,2021,122137
SD,2022,132338
TN,2016,1655825
TN,2017,1598310
TN,2018,1535055
TN,2019,1550497
TN,2020,1590217
TN,2021,2034974
TN,2022,1716769
TX,2016,4202150
TX,2017,4161800
TX,2018,4091687
TX,2019,4014414
TX,2020,4624735
TX,2021,5373771
TX,2022,5955713
UT,2016,314979
UT,2017,289546
UT,2018,282955
UT,2019,282493
UT,2020,329592
UT,2021,421857
UT,2022,480692
VT,2016,192088
VT,2017,178133
VT,2018,172720
VT,2019,164204
VT,2020,170335
VT,2021,187825
VT,2022,196589
VA,2016,1074235
VA,2017,1094623
VA,2018,1126358
VA,2019,1326644
VA,2020,1510315
VA,2021,1716174
VA,2022,1890073
WA,2016,1826440
WA,2017,1829861
WA,2018,1786489
WA,2019,1748892
WA,2020,1825940
WA,2021,2005324
WA,2022,2139334
WV,2016,567120
WV,2017,558169
WV,2018,537270
WV,2019,521488
WV,2020,538949
WV,2021,595511
WV,2022,596395
WI,2016,1108205
WI,2017,994552
WI,2018,1080227
WI,2019,1073784
WI,2020,1165982
WI,2021,1334520
WI,2022,1434059
WY,2016,86451
WY,2017,62374
WY,2018,60572
WY,2019,58108
WY,2020,61427
WY,2021,72532
WY,2022,80649
