state,year,population
AL,2011,4799642
AK,2011,722349
AZ,2011,6473416
AR,2011,2941038
CA,2011,37636311
CO,2011,5121900
CT,2011,3588632
DE,2011,907590
DC,2011,620290
FL,2011,19055607
GA,2011,9803630
HI,2011,1379562
ID,2011,1584272
IL,2011,12867783
IN,2011,6517250
IA,2011,3066772
KS,2011,2869677
KY,2011,4370817
LA,2011,4576244
ME,2011,1328473
MD,2011,5840241
MA,2011,6614218
MI,2011,9883053
MN,2011,5346620
MS,2011,2979147
MO,2011,6011182
MT,2011,997518
NE,2011,1840914
NV,2011,2713114
NH,2011,1320444
NJ,2011,8828552
NM,2011,2080707
NY,2011,19499921
NC,2011,9658913
ND,2011,685526
OH,2011,11545735
OK,2011,3788824
OR,2011,3872672
PA,2011,12747052
RI,2011,1053829
SC,2011,4672655
SD,2011,823740
TN,2011,6400298
TX,2011,25645504
UT,2011,2814797
VT,2011,627197
VA,2011,8102437
WA,2011,6827479
WV,2011,1856606
WI,2011,5705840
WY,2011,567491
AL,2012,4816632
AK,2012,730810
AZ,2012,6556344
AR,2012,2952876
CA,2012,37944551
CO,2012,5193660
CT,2012,3595211
DE,2012,915518
DC,2012,635737
FL,2012,19302016
GA,2012,9903580
HI,2012,1395199
ID,2012,1595910
IL,2012,12883029
IN,2012,6538989
IA,2012,3076844
KS,2012,2886024
KY,2012,4387865
LA,2012,4602067
ME,2012,1328094
MD,2012,5888375
MA,2012,6664269
MI,2012,9898289
MN,2012,5377500
MS,2012,2984599
MO,2012,6026027
MT,2012,1004168
NE,2012,1853691
NV,2012,2744670
NH,2012,1324677
NJ,2012,8845671
NM,2012,2087715
NY,2012,19574362
NC,2012,9751810
ND,2012,702227
OH,2012,11550971
OK,2012,3819320
OR,2012,3900102
PA,2012,12769123
RI,2012,1054893
SC,2012,4719027
SD,2012,833859
TN,2012,6455752
TX,2012,26084120
UT,2012,2854146
VT,2012,626361
VA,2012,8187456
WA,2012,6898599
WV,2012,1857446
WI,2012,5720825
WY,2012,576656
AL,2013,4831586
AK,2013,737626
AZ,2013,6634690
AR,2013,2960459
CA,2013,38253768
CO,2013,5270774
CT,2013,3595792
DE,2013,924062
DC,2013,651559
FL,2013,19551678
GA,2013,9975592
HI,2013,1408822
ID,2013,1612053
IL,2013,12895778
IN,2013,6570575
IA,2013,3093935
KS,2013,2894306
KY,2013,4406906
LA,2013,4626040
ME,2013,1328543
MD,2013,5925197
MA,2013,6715158
MI,2013,9914802
MN,2013,5414722
MS,2013,2989839
MO,2013,6042989
MT,2013,1014158
NE,2013,1865813
NV,2013,2776956
NH,2013,1327272
NJ,2013,8857821
NM,2013,2092833
NY,2013,19626488
NC,2013,9846717
ND,2013,723149
OH,2013,11579692
OK,2013,3853891
OR,2013,3924110
PA,2013,12779538
RI,2013,1055560
SC,2013,4766469
SD,2013,842751
TN,2013,6496943
TX,2013,26479646
UT,2013,2898773
VT,2013,626603
VA,2013,8255861
WA,2013,6966252
WV,2013,1854768
WI,2013,5738012
WY,2013,582620
AL,2014,4843737
AK,2014,737075
AZ,2014,6732873
AR,2014,2968759
CA,2014,38586706
CO,2014,5352637
CT,2014,3595697
DE,2014,933131
DC,2014,663603
FL,2014,19853880
GA,2014,10071204
HI,2014,1415335
ID,2014,1632248
IL,2014,12885092
IN,2014,6596019
IA,2014,3110643
KS,2014,2901861
KY,2014,4416992
LA,2014,4645938
ME,2014,1331217
MD,2014,5960064
MA,2014,6764864
MI,2014,9932033
MN,2014,5452665
MS,2014,2991892
MO,2014,6059130
MT,2014,1022657
NE,2014,1879955
NV,2014,2818935
NH,2014,1334257
NJ,2014,8867277
NM,2014,2090236
NY,2014,19653431
NC,2014,9937295
ND,2014,738736
OH,2014,11606573
OK,2014,3879187
OR,2014,3965447
PA,2014,12792392
RI,2014,1056511
SC,2014,4826858
SD,2014,849670
TN,2014,6544617
TX,2014,26963092
UT,2014,2938327
VT,2014,625693
VA,2014,8315430
WA,2014,7057531
WV,2014,1850569
WI,2014,5753199
WY,2014,583159
AL,2015,4854803
AK,2015,738430
AZ,2015,6832810
AR,2015,2979732
CA,2015,38904296
CO,2015,5454328
CT,2015,3588561
DE,2015,942065
DC,2015,677014
FL,2015,20219111
GA,2015,10183353
HI,2015,1422999
ID,2015,1652495
IL,2015,12859585
IN,2015,6611442
IA,2015,3122541
KS,2015,2910717
KY,2015,4429126
LA,2015,4666998
ME,2015,1329098
MD,2015,5988528
MA,2015,6797484
MI,2015,9934483
MN,2015,5484002
MS,2015,2990231
MO,2015,6075411
MT,2015,1031495
NE,2015,1892059
NV,2015,2868531
NH,2015,1337480
NJ,2015,8870312
NM,2015,2090071
NY,2015,19657321
NC,2015,10037218
ND,2015,755537
OH,2015,11622315
OK,2015,3910518
OR,2015,4018542
PA,2015,12789838
RI,2015,1056886
SC,2015,4896006
SD,2015,854663
TN,2015,6595354
TX,2015,27468531
UT,2015,2983626
VT,2015,625810
VA,2015,8367303
WA,2015,7167287
WV,2015,1843332
WI,2015,5762927
WY,2015,586389
AL,2016,4866824
AK,2016,742575
AZ,2016,6944767
AR,2016,2991815
CA,2016,39149186
CO,2016,5543844
CT,2016,3579830
DE,2016,949989
DC,2016,687576
FL,2016,20627237
GA,2016,10308442
HI,2016,1428885
ID,2016,1684036
IL,2016,12821709
IN,2016,6637898
IA,2016,3133210
KS,2016,2912977
KY,2016,4440306
LA,2016,4681346
ME,2016,1332348
MD,2016,6007014
MA,2016,6827280
MI,2016,9954117
MN,2016,5525360
MS,2016,2990595
MO,2016,6091384
MT,2016,1042137
NE,2016,1906483
NV,2016,2919555
NH,2016,1343694
NJ,2016,8873584
NM,2016,2092555
NY,2016,19636391
NC,2016,10161802
ND,2016,756114
OH,2016,11640060
OK,2016,3928143
OR,2016,4093271
PA,2016,12788468
RI,2016,1057816
SC,2016,4963031
SD,2016,863693
TN,2016,6651277
TX,2016,27914064
UT,2016,3044241
VT,2016,624366
VA,2016,8417651
WA,2016,7299961
WV,2016,1832435
WI,2016,5775170
WY,2016,585243
AL,2017,4877989
AK,2017,740983
AZ,2017,7048088
AR,2017,3003855
CA,2017,39337785
CO,2017,5617421
CT,2017,3575324
DE,2017,957942
DC,2017,697079
FL,2017,20977089
GA,2017,10417031
HI,2017,1425763
ID,2017,1719745
IL,2017,12779893
IN,2017,6662068
IA,2017,3143734
KS,2017,2910892
KY,2017,4455590
LA,2017,4673673
ME,2017,1335743
MD,2017,6028186
MA,2017,6863560
MI,2017,9976752
MN,2017,5569283
MS,2017,2990674
MO,2017,6111382
MT,2017,1053862
NE,2017,1916998
NV,2017,2972097
NH,2017,1350395
NJ,2017,8888147
NM,2017,2092844
NY,2017,19593849
NC,2017,10275758
ND,2017,756755
OH,2017,11665706
OK,2017,3933602
OR,2017,4147294
PA,2017,12794679
RI,2017,1056554
SC,2017,5027102
SD,2017,873732
TN,2017,6714748
TX,2017,28291024
UT,2017,3103540
VT,2017,625132
VA,2017,8471011
WA,2017,7427951
WV,2017,1818683
WI,2017,5793147
WY,2017,579994
AL,2018,4891628
AK,2018,736624
AZ,2018,7164228
AR,2018,3012161
CA,2018,39437463
CO,2018,5697155
CT,2018,3574561
DE,2018,966985
DC,2018,704147
FL,2018,21254926
GA,2018,10519389
HI,2018,1423102
ID,2018,1752074
IL,2018,12724685
IN,2018,6698481
IA,2018,3149900
KS,2018,2912748
KY,2018,4464273
LA,2018,4664450
ME,2018,1340123
MD,2018,6042153
MA,2018,6885720
MI,2018,9987286
MN,2018,5608762
MS,2018,2982879
MO,2018,6125986
MT,2018,1061818
NE,2018,1925512
NV,2018,3030725
NH,2018,1355064
NJ,2018,8891730
NM,2018,2093754
NY,2018,19544098
NC,2018,10391358
ND,2018,760062
OH,2018,11680892
OK,2018,3943488
OR,2018,4183538
PA,2018,12809107
RI,2018,1059338
SC,2018,5091702
SD,2018,879386
TN,2018,6778180
TX,2018,28624564
UT,2018,3155153
VT,2018,624802
VA,2018,8510920
WA,2018,7526793
WV,2018,1805953
WI,2018,5809319
WY,2018,579054
AL,2019,4907965
AK,2019,733603
AZ,2019,7291843
AR,2019,3020985
CA,2019,39437610
CO,2019,5758486
CT,2019,3566022
DE,2019,976668
DC,2019,708253
FL,2019,21492056
GA,2019,10628020
HI,2019,1415615
ID,2019,1789060
IL,2019,12667017
IN,2019,6731010
IA,2019,3159596
KS,2019,2912635
KY,2019,4472345
LA,2019,4658285
ME,2019,1345770
MD,2019,6054954
MA,2019,6894883
MI,2019,9984795
MN,2019,5640053
MS,2019,2978227
MO,2019,6140475
MT,2019,1070123
NE,2019,1932571
NV,2019,3090771
NH,2019,1360783
NJ,2019,8891258
NM,2019,2099634
NY,2019,19463131
NC,2019,10501384
ND,2019,763724
OH,2019,11696507
OK,2019,3960676
OR,2019,4216116
PA,2019,12798883
RI,2019,1058158
SC,2019,5157702
SD,2019,887127
TN,2019,6830325
TX,2019,28986794
UT,2019,3203383
VT,2019,624046
VA,2019,8556642
WA,2019,7614024
WV,2019,1795263
WI,2019,5824581
WY,2019,580116
AL,2020,5033094
AK,2020,733017
AZ,2020,7187135
AR,2020,3014546
CA,2020,39521958
CO,2020,5787129
CT,2020,3579918
DE,2020,991928
DC,2020,670917
FL,2020,21592035
GA,2020,10732888
HI,2020,1451252
ID,2020,1849415
IL,2020,12799088
IN,2020,6790497
IA,2020,3191141
KS,2020,2938172
KY,2020,4508318
LA,2020,4652301
ME,2020,1364571
MD,2020,6177935
MA,2020,6994598
MI,2020,10072703
MN,2020,5710735
MS,2020,2958536
MO,2020,6154744
MT,2020,1087230
NE,2020,1963387
NV,2020,3116967
NH,2020,1378756
NJ,2020,9272794
NM,2020,2118606
NY,2020,20105171
NC,2020,10449652
ND,2020,779563
OH,2020,11798905
OK,2020,3965415
OR,2020,4243779
PA,2020,12996143
RI,2020,1096530
SC,2020,5132249
SD,2020,887948
TN,2020,6927904
TX,2020,29239570
UT,2020,3284077
VT,2020,642977
VA,2020,8637615
WA,2020,7727209
WV,2020,1791646
WI,2020,5897375
WY,2020,577681
AL,2021,5049196
AK,2021,734420
AZ,2021,7274078
AR,2021,3026870
CA,2021,39142565
CO,2021,5814036
CT,2021,3606607
DE,2021,1005062
DC,2021,669256
FL,2021,21831949
GA,2021,10792060
HI,2021,1447029
ID,2021,1904848
IL,2021,12700641
IN,2021,6815907
IA,2021,3198613
KS,2021,2938338
KY,2021,4507583
LA,2021,4627971
ME,2021,1378931
MD,2021,6179403
MA,2021,7000474
MI,2021,10041351
MN,2021,5718660
MS,2021,2947209
MO,2021,6171374
MT,2021,1106522
NE,2021,1964537
NV,2021,3148141
NH,2021,1387677
NJ,2021,9270541
NM,2021,2117333
NY,2021,19848276
NC,2021,10564320
ND,2021,777966
OH,2021,11767344
OK,2021,3992238
OR,2021,4254280
PA,2021,13015571
RI,2021,1097246
SC,2021,5194274
SD,2021,896492
TN,2021,6965740
TX,2021,29570351
UT,2021,3339738
VT,2021,647210
VA,2021,8658910
WA,2021,7743760
WV,2021,1785618
WI,2021,5881608
WY,2021,579636
AL,2022,5076181
AK,2022,734442
AZ,2022,7377566
AR,2022,3047704
CA,2022,39142414
CO,2022,5850935
CT,2022,3617925
DE,2022,1020625
DC,2022,676725
FL,2022,22379312
GA,2022,10931805
HI,2022,1440359
ID,2022,1944299
IL,2022,12621821
IN,2022,6844545
IA,2022,3202820
KS,2022,2937324
KY,2022,4519233
LA,2022,4593687
ME,2022,1390922
MD,2022,6192440
MA,2022,7022468
MI,2022,10050877
MN,2022,5721621
MS,2022,2941939
MO,2022,6179414
MT,2022,1122095
NE,2022,1972246
NV,2022,3176116
NH,2022,1396678
NJ,2022,9295227
NM,2022,2113868
NY,2022,19703747
NC,2022,10710793
ND,2022,781057
OH,2022,11777874
OK,2022,4026229
OR,2022,4247372
PA,2022,12984990
RI,2022,1099498
SC,2022,5287935
SD,2022,909723
TN,2022,7062217
TX,2022,30113488
UT,2022,3391011
VT,2022,648142
VA,2022,8683414
WA,2022,7794123
WV,2022,1774122
WI,2022,5903975
WY,2022,581978
AL,2023,5117673
AK,2023,736510
AZ,2023,7473027
AR,2023,3069463
CA,2023,39198693
CO,2023,5901339
CT,2023,3643023
DE,2023,1036423
DC,2023,687324
FL,2023,22904868
GA,2023,11064432
HI,2023,1441387
ID,2023,1971122
IL,2023,12642259
IN,2023,6880131
IA,2023,3218414
KS,2023,2951500
KY,2023,4550595
LA,2023,4588071
ME,2023,1399646
MD,2023,6217062
MA,2023,7066568
MI,2023,10083356
MN,2023,5753048
MS,2023,2943172
MO,2023,6208038
MT,2023,1131302
NE,2023,1987864
NV,2023,3214363
NH,2023,1402199
NJ,2023,9379642
NM,2023,2121164
NY,2023,19737367
NC,2023,10881189
ND,2023,789047
OH,2023,11824034
OK,2023,4063882
OR,2023,4253653
PA,2023,13017721
RI,2023,1103429
SC,2023,5387830
SD,2023,918305
TN,2023,7148304
TX,2023,30727890
UT,2023,3443222
VT,2023,648708
VA,2023,8734685
WA,2023,7857320
WV,2023,1770495
WI,2023,5930405
WY,2023,585067
AL,2024,5157699
AK,2024,740133
AZ,2024,7582384
AR,2024,3088354
CA,2024,39431263
CO,2024,5957493
CT,2024,3675069
DE,2024,1051917
DC,2024,702250
FL,2024,23372215
GA,2024,11180878
HI,2024,1446146
ID,2024,2001619
IL,2024,12710158
IN,2024,6924275
IA,2024,3241488
KS,2024,2970606
KY,2024,4588372
LA,2024,4597740
ME,2024,1405012
MD,2024,6263220
MA,2024,7136171
MI,2024,10140459
MN,2024,5793151
MS,2024,2943045
MO,2024,6245466
MT,2024,1137233
NE,2024,2005465
NV,2024,3267467
NH,2024,1409032
NJ,2024,9500851
NM,2024,2130256
NY,2024,19867248
NC,2024,11046024
ND,2024,796568
OH,2024,11883304
OK,2024,4095393
OR,2024,4272371
PA,2024,13078751
RI,2024,1112308
SC,2024,5478831
SD,2024,924669
TN,2024,7227750
TX,2024,31290831
UT,2024,3503613
VT,2024,648493
VA,2024,8811195
WA,2024,7958180
WV,2024,1769979
WI,2024,5960975
WY,2024,587618
