utilization_type,state,ndc,product_name,year,quarter,suppression_used,units_reimbursed,number_of_prescriptions,total_amount_reimbursed
FFSU,AK,00169413013,OZEMPIC   ,2023,4,false,5301.000,1757,1545662.45
FFSU,AK,00169413212,OZEMPIC   ,2023,4,true,,,
FFSU,AK,00169418113,OZEMPIC   ,2023,4,false,4293.000,1431,1259630.12
FFSU,AK,00169477211,OZEMPIC   ,2023,4,true,,,
FFSU,AK,00169477212,OZEMPIC   ,2023,4,false,2745.000,915,810763.25
FFSU,AK,00169413013,OZEMPIC   ,2023,3,false,5537.000,1830,1612413.17
FFSU,AK,00169413211,OZEMPIC   ,2023,3,true,,,
FFSU,AK,00169413212,OZEMPIC   ,2023,3,false,21.000,13,13546.92
FFSU,AK,00169418113,OZEMPIC   ,2023,3,false,5011.500,1671,1462629.20
FFSU,AK,00169477212,OZEMPIC   ,2023,3,false,2757.000,919,814976.73
FFSU,AK,00169413013,OZEMPIC   ,2023,2,false,5769.000,1862,1675097.26
FFSU,AK,00169413212,OZEMPIC   ,2023,2,false,592.500,381,334125.21
FFSU,AK,00169418113,OZEMPIC   ,2023,2,false,4761.000,1585,1410613.49
FFSU,AK,00169477212,OZEMPIC   ,2023,2,false,2841.000,930,833735.25
FFSU,AK,00169413013,OZEMPIC   ,2023,1,false,5672.000,1768,1634616.36
FFSU,AK,00169413212,OZEMPIC   ,2023,1,false,2167.500,1370,1247554.32
FFSU,AK,00169418113,OZEMPIC   ,2023,1,false,135.000,45,42877.83
FFSU,AK,00169477212,OZEMPIC   ,2023,1,false,1920.000,613,559252.48
FFSU,AL,00169413013,OZEMPIC 1M,2023,4,false,4031.000,1338,1240903.07
FFSU,AL,00169413212,OZEMPIC 0.,2023,4,true,,,
FFSU,AL,00169418113,OZEMPIC 0.,2023,4,false,4632.000,1535,1422565.24
FFSU,AL,00169477211,OZEMPIC 2M,2023,4,true,,,
FFSU,AL,00169477212,OZEMPIC 2M,2023,4,false,1578.000,524,495936.78
FFSU,AL,00169413013,OZEMPIC 1M,2023,3,false,4070.000,1351,1260204.88
FFSU,AL,00169413212,OZEMPIC 0.,2023,3,false,46.500,31,28432.58
FFSU,AL,00169418113,OZEMPIC 0.,2023,3,false,4425.000,1474,1355175.96
FFSU,AL,00169477211,OZEMPIC 2M,2023,3,true,,,
FFSU,AL,00169477212,OZEMPIC 2M,2023,3,false,1857.000,619,579758.58
FFSU,AL,00169413013,OZEMPIC 1M,2023,2,false,4167.000,1384,1270174.07
FFSU,AL,00169413212,OZEMPIC 0.,2023,2,false,546.000,361,330536.62
FFSU,AL,00169418113,OZEMPIC 0.,2023,2,false,3075.000,1026,942142.58
FFSU,AL,00169477211,OZEMPIC 2M,2023,2,true,,,
FFSU,AL,00169477212,OZEMPIC 2M,2023,2,false,1875.000,623,574200.00
FFSU,AL,00169413001,OZEMPIC 1M,2023,1,true,,,
FFSU,AL,00169413013,OZEMPIC 1M,2023,1,false,3632.000,1198,1097722.79
FFSU,AL,00169413211,OZEMPIC 0.,2023,1,true,,,
FFSU,AL,00169413212,OZEMPIC 0.,2023,1,false,2076.000,1378,1258408.11
FFSU,AL,00169413602,OZEMPIC 1M,2023,1,true,,,
