state,year,diabetes_pct,diabetes_ci_low,diabetes_ci_high
AL,2011,11.8,10.9,12.7
AK,2011,7.9,6.6,9.4
AZ,2011,9.4,8.3,10.7
AR,2011,11.2,10.1,12.4
CA,2011,8.9,8.4,9.5
CO,2011,6.7,6.1,7.3
CT,2011,9.3,8.5,10.2
DE,2011,9.7,8.7,10.8
DC,2011,9.1,8.0,10.3
FL,2011,10.4,9.7,11.2
GA,2011,10.1,9.4,10.9
HI,2011,8.4,7.6,9.3
ID,2011,9.4,8.4,10.4
IL,2011,9.7,8.7,10.9
IN,2011,10.2,9.4,11.0
IA,2011,8.2,7.5,8.9
KS,2011,9.5,9.1,10.0
KY,2011,10.8,10.0,11.6
LA,2011,11.8,11.0,12.7
ME,2011,9.6,9.0,10.2
MD,2011,9.4,8.6,10.2
MA,2011,8.0,7.5,8.5
MI,2011,10.0,9.3,10.7
MN,2011,7.3,6.8,7.9
MS,2011,12.3,11.5,13.2
MO,2011,10.2,9.3,11.2
MT,2011,7.9,7.2,8.7
NE,2011,8.4,7.9,8.8
NV,2011,10.4,8.9,12.0
NH,2011,8.7,7.9,9.5
NJ,2011,8.8,8.2,9.4
NM,2011,10.0,9.3,10.7
NY,2011,10.4,9.6,11.3
NC,2011,10.8,10.0,11.6
ND,2011,8.3,7.5,9.1
OH,2011,10.0,9.3,10.8
OK,2011,11.1,10.3,11.9
OR,2011,9.3,8.4,10.3
PA,2011,9.5,8.8,10.2
RI,2011,8.4,7.6,9.3
SC,2011,12.0,11.3,12.9
SD,2011,9.5,8.4,10.6
TN,2011,11.2,9.8,12.7
TX,2011,10.2,9.5,11.0
UT,2011,6.7,6.2,7.2
VT,2011,7.7,7.0,8.4
VA,2011,10.4,9.4,11.5
WA,2011,8.9,8.3,9.6
WV,2011,12.1,11.2,13.1
WI,2011,8.4,7.5,9.4
WY,2011,8.2,7.3,9.2
AL,2012,12.2,11.4,13.1
AK,2012,7.0,6.0,8.1
AZ,2012,10.7,9.6,11.9
AR,2012,11.2,10.3,12.3
CA,2012,9.8,9.1,10.5
CO,2012,7.4,6.9,8.0
CT,2012,9.1,8.3,10.0
DE,2012,9.7,8.7,10.7
DC,2012,8.3,7.2,9.5
FL,2012,11.4,10.4,12.5
GA,2012,9.9,9.0,10.8
HI,2012,7.7,6.8,8.8
ID,2012,8.3,7.4,9.4
IL,2012,9.4,8.4,10.5
IN,2012,10.9,10.2,11.7
IA,2012,9.7,8.9,10.4
KS,2012,9.5,8.9,10.1
KY,2012,10.7,9.9,11.5
LA,2012,12.2,11.3,13.2
ME,2012,9.7,9.0,10.3
MD,2012,10.2,9.4,11.0
MA,2012,8.4,7.9,8.9
MI,2012,10.4,9.7,11.2
MN,2012,7.3,6.8,8.0
MS,2012,12.5,11.7,13.5
MO,2012,10.7,9.7,11.7
MT,2012,7.2,6.6,7.9
NE,2012,8.1,7.6,8.6
NV,2012,8.9,7.8,10.2
NH,2012,9.1,8.4,9.9
NJ,2012,9.3,8.7,10.0
NM,2012,10.3,9.5,11.0
NY,2012,9.7,8.7,10.9
NC,2012,10.4,9.8,11.1
ND,2012,8.6,7.8,9.6
OH,2012,11.6,10.9,12.3
OK,2012,11.5,10.7,12.3
OR,2012,10.0,9.0,11.0
PA,2012,10.2,9.6,10.8
RI,2012,9.7,8.8,10.7
SC,2012,11.6,10.9,12.3
SD,2012,7.8,6.9,8.7
TN,2012,12.0,11.1,13.0
TX,2012,10.7,9.9,11.5
UT,2012,7.2,6.7,7.8
VT,2012,7.2,6.5,8.0
VA,2012,10.6,9.7,11.4
WA,2012,8.8,8.2,9.3
WV,2012,13.0,12.1,14.0
WI,2012,8.3,7.3,9.4
WY,2012,9.0,8.1,10.1
AL,2013,13.8,12.8,14.9
AK,2013,7.1,6.1,8.2
AZ,2013,10.7,9.2,12.3
AR,2013,11.5,10.4,12.7
CA,2013,10.2,9.4,11.0
CO,2013,6.5,6.0,7.0
CT,2013,8.3,7.6,9.1
DE,2013,11.1,10.1,12.2
DC,2013,7.8,6.9,8.8
FL,2013,11.2,10.5,11.9
GA,2013,10.8,10.0,11.7
HI,2013,8.4,7.5,9.3
ID,2013,8.4,7.5,9.3
IL,2013,9.9,8.9,10.9
IN,2013,11.0,10.3,11.7
IA,2013,9.3,8.6,10.1
KS,2013,9.6,9.1,10.0
KY,2013,10.6,9.9,11.4
LA,2013,11.6,10.6,12.8
ME,2013,9.6,8.9,10.5
MD,2013,9.8,9.1,10.6
MA,2013,8.5,7.9,9.2
MI,2013,10.4,9.7,11.0
MN,2013,7.4,6.7,8.3
MS,2013,12.9,11.9,13.9
MO,2013,9.6,8.8,10.5
MT,2013,7.7,7.0,8.4
NE,2013,9.2,8.5,9.9
NV,2013,9.6,8.2,11.2
NH,2013,9.2,8.3,10.1
NJ,2013,9.2,8.5,9.9
NM,2013,10.7,9.9,11.7
NY,2013,10.6,9.8,11.5
NC,2013,11.4,10.6,12.2
ND,2013,8.9,8.1,9.7
OH,2013,10.4,9.7,11.1
OK,2013,11.0,10.3,11.8
OR,2013,9.2,8.3,10.1
PA,2013,10.1,9.4,10.8
RI,2013,9.3,8.4,10.2
SC,2013,12.5,11.7,13.3
SD,2013,9.1,8.1,10.2
TN,2013,12.2,11.1,13.4
TX,2013,10.9,10.1,11.9
UT,2013,7.1,6.6,7.7
VT,2013,7.8,7.1,8.6
VA,2013,9.8,9.1,10.7
WA,2013,8.6,7.9,9.2
WV,2013,13.0,12.1,14.0
WI,2013,8.2,7.3,9.2
WY,2013,8.6,7.8,9.5
AL,2014,12.9,12.1,13.8
AK,2014,7.4,6.5,8.5
AZ,2014,10.0,9.4,10.7
AR,2014,12.7,11.6,14.0
CA,2014,10.3,9.5,11.1
CO,2014,7.3,6.8,7.8
CT,2014,9.2,8.5,10.1
DE,2014,11.1,10.0,12.3
DC,2014,8.4,7.3,9.7
FL,2014,11.2,10.4,12.0
GA,2014,11.6,10.7,12.5
HI,2014,9.8,8.8,10.8
ID,2014,7.6,6.8,8.5
IL,2014,10.1,9.2,11.2
IN,2014,10.7,10.0,11.3
IA,2014,9.5,8.8,10.2
KS,2014,10.3,9.8,10.9
KY,2014,12.5,11.6,13.4
LA,2014,11.3,10.5,12.1
ME,2014,9.5,8.8,10.2
MD,2014,10.1,9.3,10.9
MA,2014,9.7,9.0,10.4
MI,2014,10.4,9.7,11.1
MN,2014,8.1,7.7,8.6
MS,2014,13.0,11.8,14.3
MO,2014,11.1,10.2,12.1
MT,2014,8.8,8.0,9.6
NE,2014,9.2,8.6,9.7
NV,2014,9.6,8.4,10.9
NH,2014,9.1,8.3,10.1
NJ,2014,9.7,9.0,10.4
NM,2014,11.5,10.7,12.5
NY,2014,10.0,9.2,10.9
NC,2014,10.8,10.1,11.6
ND,2014,8.6,7.8,9.5
OH,2014,11.7,10.9,12.6
OK,2014,12.0,11.2,12.8
OR,2014,9.0,8.1,9.9
PA,2014,11.2,10.5,12.0
RI,2014,9.4,8.6,10.3
SC,2014,12.0,11.3,12.7
SD,2014,9.1,8.1,10.3
TN,2014,13.0,11.9,14.2
TX,2014,11.0,10.3,11.8
UT,2014,7.1,6.7,7.6
VT,2014,7.9,7.2,8.6
VA,2014,9.7,9.0,10.4
WA,2014,8.9,8.2,9.6
WV,2014,14.1,13.2,15.1
WI,2014,9.0,8.1,9.9
WY,2014,8.4,7.5,9.4
AL,2015,13.5,12.6,14.4
AK,2015,7.6,6.4,9.2
AZ,2015,10.1,9.3,10.9
AR,2015,12.6,11.4,14.0
CA,2015,10.0,9.3,10.8
CO,2015,6.8,6.2,7.3
CT,2015,9.3,8.6,10.0
DE,2015,11.5,10.3,12.7
DC,2015,8.5,7.3,10.0
FL,2015,11.3,10.5,12.1
GA,2015,11.3,10.3,12.4
HI,2015,8.5,7.7,9.4
ID,2015,8.1,7.3,9.0
IL,2015,9.9,9.0,10.9
IN,2015,11.4,10.4,12.5
IA,2015,8.8,8.0,9.6
KS,2015,9.7,9.3,10.1
KY,2015,13.4,12.4,14.6
LA,2015,12.7,11.6,13.9
ME,2015,9.9,9.1,10.7
MD,2015,10.3,9.4,11.3
MA,2015,8.9,8.2,9.7
MI,2015,10.7,10.0,11.5
MN,2015,7.6,7.1,8.0
MS,2015,14.7,13.6,15.9
MO,2015,11.5,10.6,12.4
MT,2015,7.9,7.0,8.8
NE,2015,8.8,8.2,9.4
NV,2015,9.7,8.2,11.3
NH,2015,8.1,7.4,8.9
NJ,2015,9.0,8.3,9.8
NM,2015,11.5,10.5,12.6
NY,2015,9.8,9.2,10.5
NC,2015,10.7,9.9,11.5
ND,2015,8.7,7.9,9.7
OH,2015,11.0,10.3,11.8
OK,2015,11.7,10.8,12.7
OR,2015,10.7,9.7,11.7
PA,2015,10.4,9.5,11.4
RI,2015,9.0,8.2,10.0
SC,2015,11.8,11.1,12.6
SD,2015,9.3,8.3,10.4
TN,2015,12.7,11.6,13.8
TX,2015,11.4,10.5,12.4
UT,2015,7.0,6.5,7.6
VT,2015,8.2,7.5,9.1
VA,2015,10.3,9.6,11.2
WA,2015,8.4,7.9,8.9
WV,2015,14.5,13.5,15.5
WI,2015,8.4,7.5,9.3
WY,2015,8.4,7.5,9.4
AL,2016,14.6,13.6,15.7
AK,2016,7.5,6.1,9.0
AZ,2016,10.8,10.0,11.7
AR,2016,13.5,12.1,14.9
CA,2016,10.2,9.4,10.9
CO,2016,6.6,6.2,7.1
CT,2016,9.8,9.1,10.5
DE,2016,10.6,9.5,11.9
DC,2016,7.7,6.9,8.6
FL,2016,11.8,11.1,12.4
GA,2016,12.1,11.1,13.1
HI,2016,10.5,9.6,11.4
ID,2016,8.9,8.0,9.9
IL,2016,10.4,9.4,11.4
IN,2016,11.5,10.8,12.3
IA,2016,9.3,8.6,10.1
KS,2016,9.4,8.9,10.0
KY,2016,13.1,12.2,14.0
LA,2016,12.1,11.0,13.3
ME,2016,10.6,9.8,11.4
MD,2016,10.8,10.1,11.4
MA,2016,9.3,8.5,10.1
MI,2016,11.2,10.5,11.8
MN,2016,8.4,8.0,8.9
MS,2016,13.6,12.5,14.7
MO,2016,11.5,10.6,12.6
MT,2016,8.1,7.3,9.0
NE,2016,8.8,8.2,9.5
NV,2016,11.1,9.9,12.4
NH,2016,9.0,8.2,9.8
NJ,2016,9.2,8.3,10.2
NM,2016,11.6,10.6,12.7
NY,2016,10.5,9.8,11.1
NC,2016,11.3,10.4,12.2
ND,2016,8.6,7.9,9.5
OH,2016,11.1,10.4,11.9
OK,2016,12.0,11.1,12.9
OR,2016,9.5,8.7,10.4
PA,2016,11.3,10.3,12.3
RI,2016,9.8,8.9,10.8
SC,2016,13.0,12.3,13.8
SD,2016,7.9,7.0,9.0
TN,2016,12.7,11.7,13.8
TX,2016,11.2,10.2,12.3
UT,2016,7.2,6.7,7.8
VT,2016,8.4,7.6,9.3
VA,2016,10.4,9.7,11.2
WA,2016,9.4,8.8,10.0
WV,2016,15.0,14.1,15.9
WI,2016,9.8,8.8,10.8
WY,2016,8.3,7.3,9.4
AL,2017,14.1,13.2,15.2
AK,2017,7.4,6.2,8.9
AZ,2017,10.4,9.9,11.0
AR,2017,12.2,11.0,13.6
CA,2017,10.5,9.6,11.4
CO,2017,7.4,6.8,8.0
CT,2017,9.8,9.1,10.5
DE,2017,11.3,10.1,12.5
DC,2017,7.5,6.6,8.4
FL,2017,10.5,9.7,11.4
GA,2017,11.4,10.4,12.3
HI,2017,10.9,10.0,11.8
ID,2017,8.7,7.8,9.7
IL,2017,11.0,10.0,12.0
IN,2017,11.8,11.2,12.5
IA,2017,9.6,8.9,10.3
KS,2017,10.5,10.0,11.0
KY,2017,12.9,11.8,14.0
LA,2017,13.6,12.4,14.8
ME,2017,10.7,9.8,11.6
MD,2017,10.4,9.7,11.1
MA,2017,9.5,8.5,10.6
MI,2017,11.0,10.4,11.8
MN,2017,7.8,7.3,8.2
MS,2017,14.2,13.0,15.4
MO,2017,10.4,9.6,11.3
MT,2017,7.9,7.0,8.8
NE,2017,10.1,9.5,10.8
NV,2017,10.4,9.1,11.9
NH,2017,8.4,7.6,9.3
NJ,2017,11.0,10.2,12.0
NM,2017,10.7,9.7,11.7
NY,2017,10.5,9.8,11.2
NC,2017,11.4,10.3,12.5
ND,2017,9.0,8.2,9.7
OH,2017,11.3,10.6,12.1
