,mean,std,min,max,N
obesity_pct,30.917348377997182,4.324414433262409,20.2,41.4,709.0
obesity_ci_low,29.3737658674189,4.230694278135448,19.1,39.8,709.0
obesity_ci_high,32.49901269393512,4.447374218786748,21.3,43.0,709.0
sample_size,8083.207334273625,4366.9377081731745,2280.0,39198.0,709.0
diabetes_pct,10.6574047954866,2.02400621664194,6.5,18.4,709.0
diabetes_ci_low,9.77700987306065,1.927043365173269,6.0,17.3,709.0
diabetes_ci_high,11.608885754583921,2.145009323905473,7.0,19.5,709.0
glp1_prescriptions,40655.37114845938,110694.97716613054,0.0,1910342.0,714.0
n_cells,84.01262272089761,61.03235104558073,13.0,317.0,713.0
n_suppressed_cells,26.835904628330997,22.13562005770803,0.0,113.0,713.0
pct_cells_suppressed,30.8952358560069,15.586253168065728,0.0,92.85714285714286,713.0
medicaid_enrollment,1543718.1288515406,2079314.1837690314,58108.0,14305237.0,357.0
population,6384622.50420168,7205457.194998953,567491.0,39521958.0,714.0
pct_65plus,16.13615470635016,2.447253354652932,8.278247862579464,23.520266747948256,714.0
income_pc_nominal,53760.98179271709,12842.358265799841,32454.0,112944.0,714.0
income_pc_real,65258.54446843433,11539.57498171671,45258.71393524916,113550.66975249696,714.0
unemployment_rate,5.123167600373483,2.0358324029954527,1.8,13.675,714.0
glp1_per_1000_enrollees,23.913614260429597,17.772658649763613,0.0,91.7105265231941,357.0
glp1_per_1000_pop,6.358701631712574,9.368504984322717,0.0,65.74593113314943,714.0
log_income_pc,11.071466743385562,0.16916685209353977,10.72015050374292,11.640004445820994,714.0
log_population,15.165832877534895,1.032674577669411,13.248980169181102,17.492366974151064,714.0
